"","date","probe_name","probe_type","value"
"192","07/01/2021 03:50:00","B2pH1","pH",7.98
"193","07/01/2021 04:00:00","B2_T2","Temp",18.1
"194","07/01/2021 04:00:00","B2_pH2","pH",4.54
"195","07/01/2021 04:00:00","B1_pH2","pH",8.12
"196","07/01/2021 04:00:00","B1_T2","Temp",16.2
"197","07/01/2021 04:00:00","B1_T1","Temp",16.3
"198","07/01/2021 04:00:00","B1_pH1","pH",8.11
"199","07/01/2021 04:00:00","B2T1","Temp",18.2
"200","07/01/2021 04:00:00","B2pH1","pH",7.98
"201","07/01/2021 04:10:00","B2_T2","Temp",17.8
"202","07/01/2021 04:10:00","B2_pH2","pH",4.54
"203","07/01/2021 04:10:00","B1_pH2","pH",8.12
"204","07/01/2021 04:10:00","B1_T2","Temp",16.2
"205","07/01/2021 04:10:00","B1_T1","Temp",16.2
"206","07/01/2021 04:10:00","B1_pH1","pH",8.11
"207","07/01/2021 04:10:00","B2T1","Temp",18.2
"208","07/01/2021 04:10:00","B2pH1","pH",7.98
"209","07/01/2021 04:20:00","B2_T2","Temp",17.4
"210","07/01/2021 04:20:00","B2_pH2","pH",4.54
"211","07/01/2021 04:20:00","B1_pH2","pH",8.12
"212","07/01/2021 04:20:00","B1_T2","Temp",16.2
"213","07/01/2021 04:20:00","B1_T1","Temp",16.2
"214","07/01/2021 04:20:00","B1_pH1","pH",8.11
"215","07/01/2021 04:20:00","B2T1","Temp",18.2
"216","07/01/2021 04:20:00","B2pH1","pH",7.98
"217","07/01/2021 04:30:00","B2_T2","Temp",17.8
"218","07/01/2021 04:30:00","B2_pH2","pH",4.55
"219","07/01/2021 04:30:00","B1_pH2","pH",8.12
"220","07/01/2021 04:30:00","B1_T2","Temp",16.2
"221","07/01/2021 04:30:00","B1_T1","Temp",16.2
"222","07/01/2021 04:30:00","B1_pH1","pH",8.11
"223","07/01/2021 04:30:00","B2T1","Temp",18.2
"224","07/01/2021 04:30:00","B2pH1","pH",7.98
"225","07/01/2021 04:40:00","B2_T2","Temp",17.5
"226","07/01/2021 04:40:00","B2_pH2","pH",4.55
"227","07/01/2021 04:40:00","B1_pH2","pH",8.12
"228","07/01/2021 04:40:00","B1_T2","Temp",16.3
"229","07/01/2021 04:40:00","B1_T1","Temp",16.3
"230","07/01/2021 04:40:00","B1_pH1","pH",8.12
"231","07/01/2021 04:40:00","B2T1","Temp",18.2
"232","07/01/2021 04:40:00","B2pH1","pH",7.98
"233","07/01/2021 04:50:00","B2_T2","Temp",18.1
"234","07/01/2021 04:50:00","B2_pH2","pH",4.55
"235","07/01/2021 04:50:00","B1_pH2","pH",8.12
"236","07/01/2021 04:50:00","B1_T2","Temp",16.2
"237","07/01/2021 04:50:00","B1_T1","Temp",16.2
"238","07/01/2021 04:50:00","B1_pH1","pH",8.12
"239","07/01/2021 04:50:00","B2T1","Temp",18.2
"240","07/01/2021 04:50:00","B2pH1","pH",7.99
"241","07/01/2021 05:00:00","B2_T2","Temp",17.7
"242","07/01/2021 05:00:00","B2_pH2","pH",4.55
"243","07/01/2021 05:00:00","B1_pH2","pH",8.12
"244","07/01/2021 05:00:00","B1_T2","Temp",16.2
"245","07/01/2021 05:00:00","B1_T1","Temp",16.2
"246","07/01/2021 05:00:00","B1_pH1","pH",8.12
"247","07/01/2021 05:00:00","B2T1","Temp",18.2
"248","07/01/2021 05:00:00","B2pH1","pH",7.97
"249","07/01/2021 05:10:00","B2_T2","Temp",17
"250","07/01/2021 05:10:00","B2_pH2","pH",4.55
"251","07/01/2021 05:10:00","B1_pH2","pH",8.12
"252","07/01/2021 05:10:00","B1_T2","Temp",16.2
"253","07/01/2021 05:10:00","B1_T1","Temp",16.2
"254","07/01/2021 05:10:00","B1_pH1","pH",8.11
"255","07/01/2021 05:10:00","B2T1","Temp",18.1
"256","07/01/2021 05:10:00","B2pH1","pH",7.97
"257","07/01/2021 05:20:00","B2_T2","Temp",17.1
"258","07/01/2021 05:20:00","B2_pH2","pH",4.55
"259","07/01/2021 05:20:00","B1_pH2","pH",8.12
"260","07/01/2021 05:20:00","B1_T2","Temp",16.1
"261","07/01/2021 05:20:00","B1_T1","Temp",16.1
"262","07/01/2021 05:20:00","B1_pH1","pH",8.11
"263","07/01/2021 05:20:00","B2T1","Temp",18.1
"264","07/01/2021 05:20:00","B2pH1","pH",7.97
"265","07/01/2021 05:30:00","B2_T2","Temp",17.4
"266","07/01/2021 05:30:00","B2_pH2","pH",4.55
"267","07/01/2021 05:30:00","B1_pH2","pH",8.11
"268","07/01/2021 05:30:00","B1_T2","Temp",16.1
"269","07/01/2021 05:30:00","B1_T1","Temp",16.1
"270","07/01/2021 05:30:00","B1_pH1","pH",8.11
